"Descripción del contrato","Entidad ","Contratista","Nomenclatura del proceso","Número del contrato","Objeto ","Moneda ","Monto ","Presupuesto ","CCP ","Previsión Presupuestal ","Fecha de suscripción del contrato","Fecha de inicio del contrato","Fecha fin del contrato","Estado"
"ADQUISICIÓN CENTRALIZADA DE DISPOSITIVOS MÉDICOS, ABASTECIMIENTO 2021-2022, EN EL MARCO DEL D.U. 075-2021 - BOLSA DE COLOSTOMIA ADULTO - 1703.OC","20538298485-CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD","20471476898-MULTIMEDICAL SUPPLIES SAC","DIRECTA-PROC-8-2022-CENARES/MINSA-1","CONTRATO N° 047-2022-CENARES/MINSA","BIEN","S/","74575.6"," "," "," ","19/01/2022","19/01/2022","29/03/2022","Publicado"
"SUMINISTRO DE OXÍGENO MEDICINAL LÍQUIDO PARA LOS ESTABLECIMIENTOS DE SALUD A NIVEL NACIONAL EN EL MARCO DE LA EMERGENCIA POR COVID-19 - OXIGENO LIQUIDO - HOSPITAL NACIONAL RAMIRO PRIALE - 1532.OC","20538298485-CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD","20338570041-LINDE PERU S.R.L.","DIRECTA-PROC-6-2022-CENARES/MINSA-1","CONTRATO N° 058-2022-CENARES/MINSA","BIEN","S/","204145.5"," "," "," ","25/01/2022","25/01/2022","29/03/2022","Publicado"
"ADQUISICIÓN DE DISPOSITIVOS MÉDICOS PARA EL ESQUEMA REGULAR DE VACUNAS Y LAS BRIGADAS DE VACUNACIÓN A FIN DE CONTROLAR LA PANDEMIA CONTRA LA COVID-19 - JERINGA DESCARTABLE 1 mL CON AGUJA 25 G X 1 in RETRÁCTIL - 1504.OC","20538298485-CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD","20471476898-MULTIMEDICAL SUPPLIES SAC","DIRECTA-PROC-5-2022-CENARES/MINSA-1","CONTRATO N° 060-2022-CENARES/MINSA","BIEN","S/","5382608","5382608"," ","10765216","26/01/2022","26/01/2022","29/03/2022","Publicado"
"ADQUISICIÓN DE EQUIPOS DE PROTECCIÓN PERSONAL EN EL MARCO DEL TRATAMIENTO PARA EL COVID - 19 - BOTA DESCARTABLE - 1364.OC","20538298485-CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD","20600420063-DISTRIBUIDORA DE PRODUCTOS DESCARTABLES S.A.C.","DIRECTA-PROC-9-2022-CENARES/MINSA-1","CONTRATO N° 061-2022-CENARES/MINSA","BIEN","S/","99998.08","99998.08"," ","99998.08","26/01/2022","26/01/2022","29/03/2022","Publicado"
"ADQUISICIÓN DE EQUIPOS DE PROTECCIÓN PERSONAL PARA LA PREVENCIÓN Y TRATAMIENTO DEL CORONAVIRUS, EN EL MARCO DEL ESTADO DE EMERGENCIA POR EL COVID-19 - GUANTE PARA EXAMEN DESCARTABLE TALLA M - 1495.OC","20538298485-CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD","20506248036-ALKHOFAR SOCIEDAD ANONIMA CERRADA","DIRECTA-PROC-10-2022-CENARES/MINSA-1","CONTRATO N° 065-2022-CENARES/MINSA","BIEN","S/","2029400"," "," "," ","28/01/2022","28/01/2022","29/03/2022","Publicado"
"SUMINISTRO DE OXÍGENO MEDICINAL GASEOSO PARA LOS ESTABLECIMIENTOS DE SALUD EN EL MARCO DE LA EMERGENCIA POR COVID 19 - HOSPITAL MANUEL HIGA ARAKAKI - JUNIN - 1254.OC","20538298485-CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD","20608094351-QC GASES PERU S.A.C.","DIRECTA-PROC-11-2022-CENARES/MINSA-1","CONTRATO N° 067-2022-CENARES/MINSA","BIEN","S/","110000"," "," "," ","31/01/2022","31/01/2022","30/12/2022","Publicado"
"ADQUISICIÓN CENTRALIZADA DE PRODUCTOS FARMACÉUTICOS, ABASTECIMIENTO 2021-2022, EN EL MARCO DEL DU No. 075-2021 - COLISTINA (COMO COLISTIMETATO DE SODIO) 150 mg INY - 1530.OC","20538298485-CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD","20553748055-EXCELLAN PERU SOCIEDAD ANONIMA CERRADA","DIRECTA-PROC-13-2022-CENARES/MINSA-1","CONTRATO N° 068-2022-CENARES/MINSA","BIEN","S/","81829.2","81829.2"," ","81829.2","31/01/2022","31/01/2022","29/03/2022","Publicado"
" ADQUISICIÓN DE DISPOSITIVOS MÉDICOS PARA EL ESQUEMA REGULAR DE VACUNAS Y LAS BRIGADAS DE VACUNACIÓN CONTRA LA COVID-19 - JERINGA DESCARTABLE 1 mL CON AGUJA 25 G X 1 in RETRÁCTIL - 1667.OC","20538298485-CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD","20471476898-MULTIMEDICAL SUPPLIES SAC","DIRECTA-PROC-12-2022-CENARES/MINSA-1","CONTRATO N° 068-A-2022-CENARES/MINSA","BIEN","S/","7194264","7194264"," ","7194264","04/02/2022","04/02/2022","29/03/2022","Publicado"
"ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS PARA LA ATENCIÓN DE PACIENTES CON CORONAVIRUS EN EL MARCO DEL ESTADO DE EMERGENCIA SANITARIA POR COVID-19 (18 ÍTEMS)","20538298485-CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD","20171586608-DISTRIBUIDORA DROGUERIA SAGITARIO S.R.L.","DIRECTA-PROC-15-2022-CENARES/ MINSA-1","CONTRATO N° 088-2022-CENARES/MINSA","BIEN","S/","71200","71200"," ","71200","08/02/2022","08/02/2022","29/04/2022","Publicado"
"ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS PARA LA ATENCIÓN DE PACIENTES CON CORONAVIRUS EN EL MARCO DEL ESTADO DE EMERGENCIA SANITARIA POR COVID-19 (18 ÍTEMS)","20538298485-CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD","20171586608-DISTRIBUIDORA DROGUERIA SAGITARIO S.R.L.","DIRECTA-PROC-15-2022-CENARES/ MINSA-1","CONTRATO N° 078-2022-CENARES/MINSA","BIEN","S/","44450","44450"," ","44450","08/02/2022","08/02/2022","28/04/2022","Publicado"
"ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS PARA LA ATENCIÓN DE PACIENTES CON CORONAVIRUS EN EL MARCO DEL ESTADO DE EMERGENCIA SANITARIA POR COVID-19 (18 ÍTEMS)","20538298485-CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD","20171586608-DISTRIBUIDORA DROGUERIA SAGITARIO S.R.L.","DIRECTA-PROC-15-2022-CENARES/ MINSA-1","CONTRATO N° 073-2022-CENARES/MINSA","BIEN","S/","4318000","4318000"," ","4318000","08/02/2022","08/02/2022","28/04/2022","Publicado"
"ADQUISICIÓN DE FILGTRASTIM 3000000","20538298485-CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD","L0606465346-BLAU FARMACEUTICA S.A.","INTER-PROC-1-2022-CENARES/ MINSA-1","931-2022","BIEN","S/","2607600","2607600","2607600"," ","11/02/2022","12/02/2022","31/03/2022","Publicado"
"SUMINISTRO DE 700,000 LIBRETAS DE PASAPORTE ELECTRÓNICO Y LÁMINAS DE SEGURIDAD PARA EL SERVICIO DE EMISIÓN DESCENTRALIZADA DE PASAPORTE ELECTRÓNICO","20551239692-SUPERINTENDENCIA NACIONAL DE MIGRACIONES","20601089930-IN CONTINU ET SERVICES S.A.S. SUCURSAL DEL PERU","LP-SM-5-2021-MIGRACIONES-1","01-2022","BIEN","S/","14336000","14336000","14336000"," ","07/02/2022","08/02/2022","18/07/2022","Publicado"
"SERVICIO DE LINEA DEDICADA A INTERNET PARA LA SEDE CENTRAL DE LA SUCAMEC","20551964940-SUPERINTENDENCIA NACIONAL DE CONTROL DE SERVICIOS SEGURIDAD,ARMAS,MUNICIONES Y EXPLOSIVOS USO CIVIL","20552504641-OPTICAL TECHNOLOGIES SAC","AS-SM-2-2021-OEC-SUCAMEC-1","CONTRATO N°001-2022-SUCAMEC","SERVICIO","S/","35200","35200","10755.58","24444.42","10/01/2022","11/01/2022","11/01/2025","Publicado"
"SUMINISTRO DE COMBUSTIBLE (DIESEL B5-S50) PARA LAS UNIDADES VEHICULARES DE LA SEDE CENTRAL SUCAMEC","20551964940-SUPERINTENDENCIA NACIONAL DE CONTROL DE SERVICIOS SEGURIDAD,ARMAS,MUNICIONES Y EXPLOSIVOS USO CIVIL","20370508659-GRIFO J.H.P. E.I.R.LTDA.","SIE-SIE-1-2021-OEC-SUCAMEC-1","03-2022","BIEN","S/","81950","81950","75120.87","6829.13","26/01/2022","12/02/2022","11/02/2023","Publicado"
"SERVICIO DE ALQUILER DE EQUIPOS DE COMPUTO PARA EL HOSPITAL DE HUAYCAN","20551553729-UNIDAD EJECUTORA 140 HOSPITAL DE HUAYCAN","20514469335-CORPORACION WINWARE SOCIEDAD ANONIMA CERRADA  - CORPORACION WINWARE S.A.C.","AS-SM-2-2021-HH.-2","CONTRATO N°01-2022-HH","SERVICIO","S/","95000","95000","87083.33","7916.67","31/01/2022","01/02/2022","31/01/2023","Publicado"
"CONTRATACIÓN DEL SERVICIO DE SEGURIDAD Y VIGILANCIA PARA LAS DIFERENTES OFICIANAS DE LA UEGPS EN EL MARCO DEL PROYECTO PIADER","20600579895-UNIDAD EJECUTORA 001631: GESTIÓN DE PROYECTOS SECTORIALES","20604420165-GRUPO TACTICO ALLIONS S.A.C.","AS-SM-7-2021-UEGPS-1","CONTRATO N° 001-2022-MIDAGRI-DVDAFIR-UEGPS/DE-PIADER","SERVICIO","S/","79800","79800","79800","79800","11/01/2022","18/02/2022","12/01/2023","Publicado"
"ADQUISICIÓN DE CARNE DE CERDO PARA LA ALIMENTACIÓN DEL PERSONAL DE TROPA SMV DE LA 1RA BRIG FFEE","20131369124-EJERCITO PERUANO","20515430769-CORPORACION AGROPECUARIA BERTHA SOCIEDAD ANONIMA CERRADA","COMPRE-SM-3-2022-EP/UO 0824-1","OC 00419","BIEN","S/","45290.32","45290.32","45290.32"," ","31/01/2022","31/01/2022","28/02/2022","Publicado"
" ADQUISICIÓN DE CARNE DE VACUNO PARA LA ALIMENTACIÓN DEL PERSONAL DE TROPA SMV DE LA 1RA BRIG FFEE","20131369124-EJERCITO PERUANO","20509983471-CHAYPE SOCIEDAD ANONIMA CERRADA","COMPRE-SM-4-2022-EP/UO 0824-1","OC 00432","BIEN","S/","43896.77","43896.77","43896.77"," ","31/01/2022","31/01/2022","28/02/2022","Publicado"
"ADQUISICIÓN DE VIVERES DE PRIMERA NECESIDAD PARA LA ALIMENTACIÓN DEL PERSONAL DE TROPA SMV DE LA 1RA BRIG FFEE","20131369124-EJERCITO PERUANO","20602170048-PARIS & ASOCIADOS S.A.C. - PAR & AS S.A.C.","COMPRE-SM-6-2022-EP/UO 0824-1","O/C 000412","BIEN","S/","41320","41320","41320"," ","31/01/2022","31/01/2022","28/02/2022","Publicado"
"ADQUISICIÓN DE VIVERES PARA MEJORAMIENTO PARA LA ALIMENTACIÓN DEL PERSONAL DE TROPA SMV DE LA 1RA BRIG FFEE","20131369124-EJERCITO PERUANO","20600224922-J & E INVERSIONES PACIFICO S.A.C.","COMPRE-SM-8-2022-EP/UO 0824-1","O/C  000429","BIEN","S/","60083.11","60083.11","60083.11"," ","31/01/2022","31/01/2022","28/02/2022","Publicado"
" ADQUISICIÓN DE CARNE DE POLLO PARA LA ALIMENTACIÓN DEL PERSONAL DE TROPA SMV DE LA 1RA BRIG FFEE","20131369124-EJERCITO PERUANO","20604019444-CORPORACION GV DEL PERU SOCIEDAD ANONIMA CERRADA","COMPRE-SM-5-2022-EP/UO 0824-1","OC 00423","BIEN","S/","54116.13","54116.13","54116.13"," ","31/01/2022","31/01/2022","28/02/2022","Publicado"
" ADQUISICIÓN DE VIVERES SECOS PARA LA ALIMENTACIÓN DEL PERSONAL DE TROPA SMV DE LA 1RA BRIG FFEE","20131369124-EJERCITO PERUANO","20603609523-MIRANA CONSULTORES S.A.C.","COMPRE-SM-7-2022-EP/UO 0824-1","O/C 00433","BIEN","S/","53240","53240","53240"," ","31/01/2022","31/01/2022","28/02/2022","Publicado"
"Adquisición de víveres frescos para cocción de alimentos del personal de TSMV del Agrup Ing Tte Crl PRG AF-2022","20131369124-EJERCITO PERUANO","20509983471-CHAYPE SOCIEDAD ANONIMA CERRADA","COMPRE-SM-9-2021-EP/UO 0872-1","0460","BIEN","S/","46930","46930","46930"," ","01/02/2022","02/02/2022","28/02/2022","Publicado"
"Adquisición de víveres SECOS para cocción del personal de TSMV  del Agrup Ing Tte Crl PRG AF-2022","20131369124-EJERCITO PERUANO","20515430769-CORPORACION AGROPECUARIA BERTHA SOCIEDAD ANONIMA CERRADA","COMPRE-SM-8-2022-EP/UO 0872-1","0461","BIEN","S/","46355.59","46355.59","46355.59"," ","01/02/2022","02/02/2022","28/02/2022","Publicado"
"Adquisición de pescados y artículos de Perú Compras para el racionamiento de TROPA SMV de las Unidades de COLOGE y del COGAE","20131369124-EJERCITO PERUANO","20606881151-MAKROMAD GLOBAL S.A.C.","COMPRE-SM-4-2022-EP/UO 0732-1","000606","BIEN","S/","64054.03","64054.03","64054.03"," ","04/02/2022","04/02/2022","05/02/2022","Publicado"
"Adquisición de carnes y víveres frescos de artículos de Perú Compras para el racionamiento de TROPA SMV de las Unidades de COLOGE y del COGAE ","20131369124-EJERCITO PERUANO","20515430769-CORPORACION AGROPECUARIA BERTHA SOCIEDAD ANONIMA CERRADA","COMPRE-SM-3-2022-EP/UO 0732-1","000646","BIEN","S/","69000","69000","69000"," ","07/02/2022","07/02/2022","08/02/2022","Publicado"
"CONTRATACIÓN DEL SERVICIO DE AGENCIAMIENTO DE PASAJES PARA EL PERSONAL DE TRIPULANTES DE LA AVIACIÓN DEL EJÉRCITO","20131369124-EJERCITO PERUANO","20502265653-AGENCIA DE VIAJES Y TURISMO M & E S.R.L.","COMPRE-SM-1-2022-EP/UO 0822-1","2","SERVICIO","S/","45066","45066","45066"," ","08/02/2022","09/02/2022","30/04/2022","Publicado"
" Servicio de mantenimiento preventivo y correctivo de los vehículos de la S-CGE - DILOGE","20131369124-EJERCITO PERUANO","10722618349-CHAVEZ NAVARRETE NATALY BETSI","COMPRE-SM-1-2022-EP/UO 0770-1","ORDEN DE SERVICIO Nº 373, 374","SERVICIO","S/","64962","64962","64962"," ","14/02/2022","14/02/2022","27/05/2022","Publicado"
"CONTRATACION DEL SERVICIO DE ALIMENTACION PARA INTERNOS Y PERSONAL DE SEGURIDAD DE LOS EP CALLAO EP ANCON I EP ANCON II","20381132596-INPE-DIRECCION REGIONAL LIMA","20551019731-ANSEREY EIRL - GRUPO RESA EIRL - DEDIJUAN EIRL - INVERSIONES TANTA EIRL - COORPORACION KACHUS SAC - GRUPO MYTIE EIRL ","CP-SM-7-2021-INPE/18-1","2","SERVICIO","S/","8911402","8911402","5751179","12013879.6","17/01/2022","06/02/2022","05/02/2023","Publicado"
"SERVICIO DE ALIMENTACION INTERNOS Y PERSONAL DE SEGURIDAD EP CALLAO  EP ANCON EP ANCON II, ","20381132596-INPE-DIRECCION REGIONAL LIMA","20551019731-ANSEREY EIRL - GRUPO RESA EIRL - DEDIJUAN EIRL - INVERSIONES TANTA EIRL - COORPORACION KACHUS SAC - GRUPO MYTIE EIRL ","CP-SM-7-2021-INPE/18-1","1","SERVICIO","S/","7223605.5","7223605.5","4690395","2533210.5","17/01/2022","03/02/2022","02/02/2023","Publicado"
"SERVICIO DE CONSULTORIA PARA LA OBRA TALLERES Y AREAS COMPLEMENTARIAS DEL PROYECTO REHABILITACION Y AMPLIACION DEL ESTABLECIMIENTO PENITENCIARIO DE MUJERES DE TRUJILLO CON CODIGO SNIP 167730","20381159281-INPE-OFICINA GENERAL DE INFRAESTRUCTURA","20601790271-FELITA S.A.C","CP-SM-4-2021-INPE-OIP-CS-1","001-2022-INPE-OIP","CONSULTORIA","S/","385963.35","385963.35","385963.35","385963.35","13/01/2022","21/01/2022","18/08/2022","Publicado"
"SERVICIO DE PRODUCCIÓN DE SPOT TELEVISIVO, RADIAL Y REGISTRO FOTOGRÁFICO PARA LA CAMPAÑA PUBLICITARIA BUEN INICIO DEL AÑO ESCOLAR 2022","20380795907-PROGRAMA EDUCACION BASICA PARA TODOS UE 026","20448271405-PIONEROS CINE SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA","AS-SM-13-2021-MINEDU/UE 026.-1","CONTRATO Nº 001-2022-MINEDU/SG-OGA-OL-UE 026","SERVICIO","S/","137400","137400","137400"," ","31/01/2022","01/02/2022","25/03/2022","Publicado"
"SERVICIO DE LAVADO Y PLANCHADO DE ROPA HOSPITALARIA","20131381094-INSTITUTO NACIONAL DE OFTALMOLOGIA","20512747176-CORPORACION NET COM SOCIEDAD ANONIMA CERRADA","AS-SM-8-2021-INO-MINSA-1","03-2022-OLOG-OEA-INO","SERVICIO","S/","136800","136800","121980","14820","07/02/2022","08/02/2022","08/02/2023","Publicado"
" SERVICIO DE SEGUROS PARA EL INSTITUTO NACIONAL DE OFTALMOLOGIA","20131381094-INSTITUTO NACIONAL DE OFTALMOLOGIA","20332970411-PACIFICO COMPAÑIA DE SEGUROS Y REASEGUROS","AS-SM-9-2021-INO-MINSA-1","02-2022-OLOG-OEA-INO","SERVICIO","S/","196369.62","196369.62","196369.62"," ","04/02/2022","26/02/2022","26/02/2023","Publicado"
"SERVICIO DE MENSAJERIA LOCAL NACIONAL E INTERNACIONA","20131381094-INSTITUTO NACIONAL DE OFTALMOLOGIA","20451993471-SERVICIOS CONTINENTAL E.I.R.L.","AS-SM-11-2021-INO-MINSA-1","01-2022-OLOG-OEA-INO","SERVICIO","S/","44448","44448","20372","24076","01/02/2022","02/02/2022","02/02/2024","Publicado"
"ADQUISICIÓN DE ALIMENTOS (POLLO Y DERIVADO DE POLLO) PARA 2 AÑOS HNAL-2021","20154996991-HOSPITAL NACIONAL ARZOBISPO LOAYZA","20523689879-CORPRODI S.A.C.","SIE-SIE-5-2021-HNAL-1","001-2022-HNAL","BIEN","S/","90000","90000","45000","45000","10/01/2022","11/01/2022","31/01/2024","Publicado"
"ADQUISICIÓN DE ALIMENTOS (POLLO Y DERIVADOS DE POLLO) PARA 2 AÑOS HNAL-2021","20154996991-HOSPITAL NACIONAL ARZOBISPO LOAYZA","20423044765-CORPORACION ALIMENTARIA ALEXCAR S.A.C.","SIE-SIE-5-2021-HNAL-1","002-2022-HNAL-OEA","BIEN","S/","2092800","2092800","1046400","1046400","12/01/2022","13/01/2022","31/01/2024","Publicado"
"SERVICIO DE MANTENIMIENTO PREVENTIVO DE DOS (02) ESTERILIZADORES A VAPOR PARA EL DEPARTAMENTO DE ANESTESIOLOGIA Y CENTRO QUIRURGICO DEL HNAL","20154996991-HOSPITAL NACIONAL ARZOBISPO LOAYZA","20506388806-HOSPITALIA EQUIPOS Y SERVICIOS E.I.R.L.","AS-SM-9-2021-HNAL-1","003-2022-HNAL","SERVICIO","S/","67291","67291","67291","44840","08/02/2022","09/02/2022","08/04/2022","Publicado"
"REACTIVO PARA GASES ELECTROLITOS Y METABOLITOS SANGUINEOS ARTERIALES CON EQUIPO EN CESION EN USO","20171604355-HOSPITAL SANTA ROSA","20468787360-ROCHEM BIOCARE DEL PERU S.A.C","AS-SM-29-2021-HSR-1","003-2022-HSR","BIEN","S/","179550","179550","0","407550","25/01/2022","26/01/2022","25/01/2023","Publicado"
"EJECUCION DE LA OBRA:MONTAJE, INSTALACION Y CONSTRUCCION DE OBRAS CIVILES DEL PUENTE MODULAR MAESTRANZA UBICADO EN EL DISTRITO DE BELEN, PROVINCIA DE MAYNAS,REGION LORETO","20380419247-MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO - PROVIAS DESCENTRALIZADO","20600533798-CONSORCIO ECOPERU","AS-SM-30-2021-MTC/21.-1","CONTRATO Nº 001-2022-MTC/21","OBRA","S/","775244.16","775244.16","775244.16","1016431.23","12/01/2022","13/01/2022","12/04/2022","Publicado"
" SERVICIO DE INVENTARIO FISICO VALORIZADO","20380419247-MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO - PROVIAS DESCENTRALIZADO","10068853678-PEDRAZA LUNA ROBERTO ALFREDO","AS-SM-38-2021-MTC/21-2","CONTRATO Nº 03-2022-MTC/21","SERVICIO","S/","97000","97000","97000","120442.6","26/01/2022","27/01/2022","26/04/2022","Publicado"
"Consultoría Individual para la implementación y monitoreo de instrumentos de gestión del Programa de Apoyo al Transporte Subnacional - PATS","20380419247-MTC-PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE DESCENTRALIZADO - PROVIAS DESCENTRALIZADO","10707483275-SALAZAR GUEVARA LUIS MIGUEL","CONV-PROC-50-2021-MTC/21-CCII-1","CONTRATO Nº 002-2022-MTC/21","SERVICIO","S/","21000","21000","21000","21000","19/01/2022","20/01/2022","03/05/2022","Publicado"
"SERVICIO DE SEGURIDAD Y VIGILANCIA PRIVADA PARA LA OFICINA DESCENTRALIZADA EN LA CIUDAD DE TALARA","20196785044-PERUPETRO S.A.","20526461208-SEGURMAX  S.A.C.","AS-SM-13-2021-PERUPETRO-1","CONT-003.2022","SERVICIO","S/","187068.24"," "," "," ","13/01/2022","03/02/2022","02/02/2024","Publicado"
"Servicio de Transporte Terrestre de Combustibles desde Terminal Mollendo hasta Planta Cusco","20100128218-PETROLEOS DEL PERU S.A.","20100226147-CONSORCIO FRACSA ELIO","SEL-PROC-48-2021-OFP / PETROPERU-1","41000010157","SERVICIO","S/","47481000"," "," "," ","04/01/2022","04/01/2022","06/01/2025","Publicado"
" OBRA DE RECAPEO ASFALTICO DE LA CARRETERA DEPARTAMENTAL RUTA PI-100 EMP. PE-02 (DV. TALARA) - DV. NEGRITOS - TALARA ¿ DV. EL ALTO - EL ÑURO ¿ EMP. PE-1N (PTE. EL ÑURO), TRAMOS: HOSPITAL ESSALUD II ¿ CRUCE PLAYA PEÑITAS","20100128218-PETROLEOS DEL PERU S.A.","20538448711-CONSORCIO DEL NORTE JPO","SEL-PROC-80-2021-OTL / PETROPERU-1","4100010162","OBRA","S/","1541342.28"," "," "," ","19/01/2022","20/01/2022","18/02/2022","Publicado"
"ADQUISICIÓN DE UNA FRESADORA PARA REFINERIA TALARA","20100128218-PETROLEOS DEL PERU S.A.","20392958224-HARTMETALL SOCIEDAD ANONIMA CERRADA - HARTMETALL SAC","SEL-PROC-78-2021-OTL / PETROPERU-1","4000005323","BIEN","S/","846824.29"," "," "," ","19/01/2022","19/01/2022","18/08/2022","Publicado"
"ADQUISICIÓN DE UNIFORMES PARA PERSONAL DE LAS ESTACIONES DE SERVICIO AFILIADAS A LA RED PETROPERÚ S.A. UBICADAS EN ZONA NORTE","20100128218-PETROLEOS DEL PERU S.A.","20604711054-AGRIMAQ S.A.C.","SEL-PROC-70-2021-OFP / PETROPERU-1","4500036882","BIEN","S/","1163368.14"," "," "," ","28/01/2022","29/01/2022","28/05/2022","Publicado"
" ADQUISICIÓN DE UNIFORMES PARA PERSONAL DE LAS ESTACIONES DE SERVICIO AFILIADAS A LA RED PETROPERÚ S.A. UBICADAS EN ZONA CENTRO ORIENTE","20100128218-PETROLEOS DEL PERU S.A.","20512302999-COMERCIALIZADORA A Y V SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA- CAYV S.R.L.","SEL-PROC-73-2021-OFP / PETROPERU-1","4500036883","BIEN","S/","2928437.34"," "," "," ","28/01/2022","29/01/2022","28/05/2022","Publicado"
"SERVICIO DE ELABORACIÓN DE LA INGENIERÍA BÁSICA EXTENDIDA DEL SISTEMA COMPLEMENTARIO DE PROTECCIÓN CATÓDICA POR CORRIENTE IMPRESA DEL TABLESTACADO DEL MUELLE DE EMBARCACIONES MENORES DEL TERMINAL BAYÓVAR DEL ONP. ","20100128218-PETROLEOS DEL PERU S.A.","20604121931-INGENIERIA Y CONTROL INTEGRAL DE LA CORROSION S.A.C. - ICICORR S.A.C.","SEL-PROC-38-2021-OLE / PETROPERU-1","4200083220","SERVICIO","S/","69930.02"," "," "," ","06/01/2022","10/01/2022","10/03/2022","Publicado"
"SERVICIO DE MONITOREO AMBIENTAL EN REFINERIA TALARA, PLANTA DE VENTAS TALARA Y AEROPUERTO TALARA","20100128218-PETROLEOS DEL PERU S.A.","20100114349-SGS DEL PERU S.A.C.","SEL-PROC-99-2021-OTL / PETROPERU-1","4200083265","SERVICIO","S/","2283135.72"," "," "," ","13/01/2022","25/01/2022","24/01/2024","Publicado"
"SERVICIO DE CONTROL DE RIESGO ASOCIADOS A LA PRESENCIA DE ANIMALES EN LAS UNIDADES DE PMRT","20100128218-PETROLEOS DEL PERU S.A.","20606433213-CONSORCIO NSLEON Y CASERVIC","SEL-PROC-97-2021-OTL / PETROPERU-1","4200083377","SERVICIO","S/","69207"," "," "," ","31/01/2022","31/01/2022","30/04/2022","Publicado"
"SERVICIO DE LIMPIEZA, DESHIERBE Y CULTIVO DE ÁREAS VERDES EN PLANTA TARAPOTO Y YURIMAGUAS ","20100128218-PETROLEOS DEL PERU S.A.","20483932414-CORPORACION A & A SOCIEDAD ANONIMA CERRADA","SEL-PROC-31-2021-OPS / PETROPERU-1","4200083288","SERVICIO","S/","152415.43"," "," "," ","17/01/2022","08/02/2022","08/02/2023","Publicado"
" SERVICIO DE INSTALACIÓN Y MANTENIMIENTO DE LAVAMANOS PORTÁTILES EN DIFERENTES AREAS DE REFINERÍA TALARA.","20100128218-PETROLEOS DEL PERU S.A.","20537921464-RESITER PERU S.A.C.","SEL-PROC-97-2020-OTL / PETROPERU-4","4100010161","SERVICIO","S/","77880"," "," "," ","01/02/2022","01/02/2022","31/01/2023","Publicado"
"SERVICIO DE CERTIFICACIÓN DEL MODELO DE GESTIÓN CORPORATIVA QHSSE DE PETROPERÚ","20100128218-PETROLEOS DEL PERU S.A.","20100114349-SGS DEL PERU S.A.C.","SEL-PROC-79-2021-OFP / PETROPERU-1","4200083063","SERVICIO","S/","895413.98"," "," "," ","01/02/2022","01/02/2022","01/02/2024","Publicado"
"ADQUISICIÓN DE MANGUERAS DE RECEPCIÓN DE CRUDO PARA INSTALACIÓN PORTUARIA DE ESTACIÓN 1 DEL ONP","20100128218-PETROLEOS DEL PERU S.A.","20101082840-ABUGATTAS & PERATA INTERNACIONAL S.A.C.","SEL-PROC-42-2021-OLE / PETROPERU-1","4500036946","BIEN","S/","299439.16"," "," "," ","14/02/2022","15/02/2022","13/08/2022","Publicado"
"SERVICIO DE INVENTARIO FÍSICO DE ACTIVO FIJO DEL EJERCICIO 2021 EN LAS INSTALACIONES CORRESPONDIENTES A GERENCIA REFINERÍA TALARA","20100128218-PETROLEOS DEL PERU S.A.","20115937121-SERVICIOS VIVAR CONTRATS GNRLES EIRL","SEL-PROC-108-2021-OTL / PETROPERU-1","4200083267","SERVICIO","S/","57200.03"," "," "," ","17/01/2022","17/01/2022","02/03/2022","Publicado"
" SERVICIO DE MANTENIMIENTO DE VÍAS DE CIRCULACIÓN VIAL DEL TERMINAL MOLLENDO","20100128218-PETROLEOS DEL PERU S.A.","20600099044-CIA NICOM SOCIEDAD ANONIMA CERRADA","SEL-PROC-53-2021-OFP / PETROPERU-2","4200083313","SERVICIO","S/","150099.63"," "," "," ","20/01/2022","14/02/2022","15/03/2022","Publicado"
